Year,Console,Popularity
Jan 1 2004,WiiU,0
Feb 1 2004,WiiU,0
Mar 1 2004,WiiU,0
Apr 1 2004,WiiU,0.5
May 1 2004,WiiU,0
June 1 2004,WiiU,0.5
July 1 2004,WiiU,0
Aug 1 2004,WiiU,0.5
Sep 1 2004,WiiU,0
Oct 1 2004,WiiU,0.5
Nov 1 2004,WiiU,0
Dec 1 2004,WiiU,0
Jan 1 2005,WiiU,0
Feb 1 2005,WiiU,0
Mar 1 2005,WiiU,0.5
Apr 1 2005,WiiU,0
May 1 2005,WiiU,0
June 1 2005,WiiU,0.5
July 1 2005,WiiU,0
Aug 1 2005,WiiU,0
Sep 1 2005,WiiU,0
Oct 1 2005,WiiU,0.5
Nov 1 2005,WiiU,0
Dec 1 2005,WiiU,0
Jan 1 2006,WiiU,0
Feb 1 2006,WiiU,0
Mar 1 2006,WiiU,0
Apr 1 2006,WiiU,1
May 1 2006,WiiU,5
June 1 2006,WiiU,3
July 1 2006,WiiU,3
Aug 1 2006,WiiU,3
Sep 1 2006,WiiU,5
Oct 1 2006,WiiU,5
Nov 1 2006,WiiU,20
Dec 1 2006,WiiU,26
Jan 1 2007,WiiU,11
Feb 1 2007,WiiU,7
Mar 1 2007,WiiU,6
Apr 1 2007,WiiU,6
May 1 2007,WiiU,5
June 1 2007,WiiU,6
July 1 2007,WiiU,6
Aug 1 2007,WiiU,5
Sep 1 2007,WiiU,5
Oct 1 2007,WiiU,7
Nov 1 2007,WiiU,14
Dec 1 2007,WiiU,16
Jan 1 2008,WiiU,9
Feb 1 2008,WiiU,5
Mar 1 2008,WiiU,5
Apr 1 2008,WiiU,5
May 1 2008,WiiU,5
June 1 2008,WiiU,5
July 1 2008,WiiU,5
Aug 1 2008,WiiU,5
Sep 1 2008,WiiU,4
Oct 1 2008,WiiU,4
Nov 1 2008,WiiU,7
Dec 1 2008,WiiU,10
Jan 1 2009,WiiU,6
Feb 1 2009,WiiU,4
Mar 1 2009,WiiU,3
Apr 1 2009,WiiU,3
May 1 2009,WiiU,3
June 1 2009,WiiU,3
July 1 2009,WiiU,3
Aug 1 2009,WiiU,3
Sep 1 2009,WiiU,3
Oct 1 2009,WiiU,3
Nov 1 2009,WiiU,5
Dec 1 2009,WiiU,8
Jan 1 2010,WiiU,5
Feb 1 2010,WiiU,3
Mar 1 2010,WiiU,3
Apr 1 2010,WiiU,2
May 1 2010,WiiU,2
June 1 2010,WiiU,2
July 1 2010,WiiU,2
Aug 1 2010,WiiU,2
Sep 1 2010,WiiU,2
Oct 1 2010,WiiU,2
Nov 1 2010,WiiU,4
Dec 1 2010,WiiU,5
Jan 1 2011,WiiU,3
Feb 1 2011,WiiU,2
Mar 1 2011,WiiU,2
Apr 1 2011,WiiU,2
May 1 2011,WiiU,2
June 1 2011,WiiU,8
July 1 2011,WiiU,3
Aug 1 2011,WiiU,3
Sep 1 2011,WiiU,3
Oct 1 2011,WiiU,3
Nov 1 2011,WiiU,4
Dec 1 2011,WiiU,5
Jan 1 2012,WiiU,4
Feb 1 2012,WiiU,3
Mar 1 2012,WiiU,2
Apr 1 2012,WiiU,3
May 1 2012,WiiU,3
June 1 2012,WiiU,6
July 1 2012,WiiU,4
Aug 1 2012,WiiU,4
Sep 1 2012,WiiU,7
Oct 1 2012,WiiU,6
Nov 1 2012,WiiU,18
Dec 1 2012,WiiU,18
Jan 1 2013,WiiU,9
Feb 1 2013,WiiU,7
Mar 1 2013,WiiU,7
Apr 1 2013,WiiU,6
May 1 2013,WiiU,6
June 1 2013,WiiU,7
July 1 2013,WiiU,6
Aug 1 2013,WiiU,6
Sep 1 2013,WiiU,5
Oct 1 2013,WiiU,6
Nov 1 2013,WiiU,9
Dec 1 2013,WiiU,14
Jan 1 2014,WiiU,8
Feb 1 2014,WiiU,6
Mar 1 2014,WiiU,5
Apr 1 2014,WiiU,5
May 1 2014,WiiU,6
June 1 2014,WiiU,10
July 1 2014,WiiU,7
Aug 1 2014,WiiU,7
Sep 1 2014,WiiU,6
Oct 1 2014,WiiU,6
Nov 1 2014,WiiU,12
Dec 1 2014,WiiU,17
Jan 1 2015,WiiU,9
Feb 1 2015,WiiU,7
Mar 1 2015,WiiU,6
Apr 1 2015,WiiU,6
May 1 2015,WiiU,6
June 1 2015,WiiU,7
July 1 2015,WiiU,6
Aug 1 2015,WiiU,6
Sep 1 2015,WiiU,6
Oct 1 2015,WiiU,6
Nov 1 2015,WiiU,9
Dec 1 2015,WiiU,13
Jan 1 2016,WiiU,8
Feb 1 2016,WiiU,6
Mar 1 2016,WiiU,6
Apr 1 2016,WiiU,5
May 1 2016,WiiU,5
June 1 2016,WiiU,5
July 1 2016,WiiU,5
Aug 1 2016,WiiU,4
Sep 1 2016,WiiU,4
Oct 1 2016,WiiU,4
Nov 1 2016,WiiU,6
Dec 1 2016,WiiU,9
Jan 1 2017,WiiU,6
Feb 1 2017,WiiU,5
Mar 1 2017,WiiU,7
Apr 1 2017,WiiU,5
May 1 2017,WiiU,4
June 1 2017,WiiU,4
July 1 2017,WiiU,5
Aug 1 2017,WiiU,4
Sep 1 2017,WiiU,4
Oct 1 2017,WiiU,4
Nov 1 2017,WiiU,5
Dec 1 2017,WiiU,6
Jan 1 2018,WiiU,4
Feb 1 2018,WiiU,3
Mar 1 2018,WiiU,3
Apr 1 2018,WiiU,3
May 1 2018,WiiU,2
June 1 2018,WiiU,3
July 1 2018,WiiU,3
Aug 1 2018,WiiU,3
Sep 1 2018,WiiU,2
Oct 1 2018,WiiU,2
Nov 1 2018,WiiU,3
Dec 1 2018,WiiU,4
Jan 1 2019,WiiU,3
Feb 1 2019,WiiU,2
Mar 1 2019,WiiU,2
Apr 1 2019,WiiU,2
May 1 2019,WiiU,2
June 1 2019,WiiU,2
