Country,Searches
Saint Pierre & Miquelon,100
United Kingdom,70
Hong Kong,61
Greenland,59
Gibraltar,59
Germany,58
France,56
Ireland,54
Isle of Man,52
Seychelles,51
Guernsey,51
Iceland,51
Australia,50
Guam,50
Jersey,48
Macao,48
Japan,48
United States of America,47
Canada,47
Austria,46
New Zealand,45
Malta,43
Maldives,43
Réunion,43
U.S. Virgin Islands,42
New Caledonia,42
Northern Mariana Islands,42
Netherlands,42
Belgium,41
Cayman Islands,40
Switzerland,40
Sweden,39
Faroe Islands,39
Norway,39
Luxembourg,38
Finland,38
Liechtenstein,37
Puerto Rico,37
French Guiana,37
Martinique,36
Sint Maarten,36
Brunei,36
Denmark,35
American Samoa,35
Bermuda,33
Bahrain,33
Guadeloupe,33
China,33
Portugal,32
British Virgin Islands,32
Turks & Caicos Islands,30
San Marino,30
Czechia,30
St. Helena,29
Andorra,29
Djibouti,29
Hungary,29
Taiwan,28
Kuwait,28
Italy,28
Spain,27
Bahamas,27
United Arab Emirates,27
Equatorial Guinea,26
Greece,26
French Polynesia,26
Poland,25
Cyprus,25
St. Martin,25
St. Barthélemy,25
St. Kitts & Nevis,25
Barbados,24
Qatar,24
Congo,23
Singapore,23
Aruba,22
Curaçao,22
Dominica,22
Chile,21
Åland Islands,21
Mayotte,21
South Africa,21
Trinidad & Tobago,21
St. Lucia,21
Slovakia,20
Mauritius,20
Grenada,19
Romania,19
Antigua & Barbuda,19
Brazil,19
Lithuania,19
Croatia,18
Gabon,18
Estonia,18
Fiji,18
Slovenia,17
Lebanon,16
Madagascar,16
Iran,16
Belize,16
Oman,15
Botswana,15
Vanuatu,15
Mali,15
Côte d’Ivoire,15
Senegal,15
Palestine,15
Costa Rica,15
Malaysia,15
Suriname,14
Ghana,14
Niger,14
Bulgaria,14
Caribbean Netherlands,14
Saudi Arabia,13
Jamaica,13
Kosovo,13
Sierra Leone,13
Eswatini,13
Cameroon,13
St. Vincent & Grenadines,12
Benin,12
Zimbabwe,12
Malawi,12
North Macedonia,12
Namibia,12
Mauritania,12
Latvia,12
South Korea,12
Bosnia & Herzegovina,11
Guyana,11
Zambia,11
Panama,11
Albania,11
Guinea,11
Tunisia,11
Togo,11
Nigeria,11
Serbia,10
El Salvador,10
Georgia,10
Chad,10
Angola,10
Russia,10
Cuba,10
Dem. Rep. Congo,10
Mexico,10
Mozambique,10
Liberia,10
Bhutan,10
Burundi,9
Pakistan,9
Egypt,9
Philippines,9
Montenegro,9
Honduras,9
Morocco,9
Libya,9
Burkina Faso,9
Turkey,9
Ethiopia,9
Jordan,9
Kenya,9
Algeria,8
Guatemala,8
Haiti,8
Uruguay,8
Dominican Republic,8
Myanmar,8
Iraq,8
South Sudan,7
Samoa,7
Mongolia,7
Timor-Leste,7
Thailand,7
Peru,7
Argentina,7
Paraguay,7
Nicaragua,7
Central African Republic,7
Somalia,7
Lesotho,7
Tanzania,7
Western Sahara,6
Belarus,6
Moldova,6
Colombia,6
Cape Verde,6
Ecuador,6
Azerbaijan,6
Uganda,6
Armenia,6
Ukraine,6
Afghanistan,6
Gambia,6
Sri Lanka,6
Nepal,5
Bolivia,5
Cambodia,5
Venezuela,5
Sudan,5
India,5
Papua New Guinea,5
Turkmenistan,5
Bangladesh,5
Kazakhstan,5
Indonesia,4
Vietnam,4
Rwanda,4
Laos,4
Yemen,3
Tajikistan,3
Guinea-Bissau,3
Syria,3
Kyrgyzstan,3
Uzbekistan,2
Bouvet Island,
Eritrea,
Cook Islands,
Montserrat,
Marshall Islands,
Svalbard & Jan Mayen,
Tonga,
Kiribati,
Comoros,
Anguilla,
Antarctica,
French Southern Territories,
Cocos (Keeling) Islands,
Christmas Island,
Falkland Islands (Islas Malvinas),
Micronesia,
Heard & McDonald Islands,
British Indian Ocean Territory,
Monaco,
Norfolk Island,
Niue,
Nauru,
Pitcairn Islands,
Palau,
North Korea,
South Georgia and South Sandwich Islands,
Solomon Islands,
São Tomé and Príncipe,
Tokelau,
Tuvalu,
U.S. Outlying Islands,
Vatican City,
Wallis & Futuna,
