Name,Platform,Year,Genre,Global_Sales
Wii Sports,Wii,2006,Sports,82.74
Super Mario Bros.,NES,1985,Platform,40.24
Mario Kart Wii,Wii,2008,Racing,35.82
Wii Sports Resort,Wii,2009,Sports,33
Pokemon Red/Pokemon Blue,Game Boy,1996,Role-Playing,31.37
Tetris,Game Boy,1989,Puzzle,30.26
New Super Mario Bros.,DS,2006,Platform,30.01
Wii Play,Wii,2006,Misc,29.02
New Super Mario Bros. Wii,Wii,2009,Platform,28.62
Duck Hunt,NES,1984,Shooter,28.31
Nintendogs,DS,2005,Simulation,24.76
Mario Kart DS,DS,2005,Racing,23.42
Pokemon Gold/Pokemon Silver,Game Boy,1999,Role-Playing,23.1
Wii Fit,Wii,2007,Sports,22.72
Wii Fit Plus,Wii,2009,Sports,22
Kinect Adventures!,X360,2010,Misc,21.82
Grand Theft Auto V,PS3,2013,Action,21.4
Grand Theft Auto: San Andreas,PS2,2004,Action,20.81
Super Mario World,SNES,1990,Platform,20.61
Brain Age: Train Your Brain in Minutes a Day,DS,2005,Misc,20.22
Pokemon Diamond/Pokemon Pearl,DS,2006,Role-Playing,18.36
Super Mario Land,Game Boy,1989,Platform,18.14
Super Mario Bros. 3,NES,1988,Platform,17.28
Grand Theft Auto V,X360,2013,Action,16.38
Grand Theft Auto: Vice City,PS2,2002,Action,16.15
Pokemon Ruby/Pokemon Sapphire,Game Boy,2002,Role-Playing,15.85
Pokemon Black/Pokemon White,DS,2010,Role-Playing,15.32
Brain Age 2: More Training in Minutes a Day,DS,2005,Puzzle,15.3
Gran Turismo 3: A-Spec,PS2,2001,Racing,14.98
Call of Duty: Modern Warfare 3,X360,2011,Shooter,14.76
Pokemon Yellow: Special Pikachu Edition,Game Boy,1998,Role-Playing,14.64
Call of Duty: Black Ops,X360,2010,Shooter,14.64
Pokemon X/Pokemon Y,3DS,2013,Role-Playing,14.35
Call of Duty: Black Ops 3,PS4,2015,Shooter,14.24
Call of Duty: Black Ops II,PS3,2012,Shooter,14.03
Call of Duty: Black Ops II,X360,2012,Shooter,13.73
Call of Duty: Modern Warfare 2,X360,2009,Shooter,13.51
Call of Duty: Modern Warfare 3,PS3,2011,Shooter,13.46
Grand Theft Auto III,PS2,2001,Action,13.1
Super Smash Bros. Brawl,Wii,2008,Fighting,13.04
Call of Duty: Black Ops,PS3,2010,Shooter,12.73
Animal Crossing: Wild World,DS,2005,Simulation,12.27
Mario Kart 7,3DS,2011,Racing,12.21
Halo 3,X360,2007,Shooter,12.14
Grand Theft Auto V,PS4,2014,Action,11.98
Super Mario 64,DS,2009,Action,11.9
Gran Turismo 4,N64,1996,Platform,11.89
Super Mario Galaxy,PS2,2004,Racing,11.66
Pokemon Omega Ruby/Pokemon Alpha Sapphire,Wii,2007,Platform,11.52
Super Mario Land 2: 6 Golden Coins,3DS,2014,Role-Playing,11.33
Grand Theft Auto IV,Game Boy,1992,Adventure,11.18
Gran Turismo,X360,2008,Action,11.02
Super Mario 3D Land,PS,1997,Racing,10.95
Gran Turismo 5,3DS,2011,Platform,10.79
Call of Duty: Modern Warfare 2,PS3,2010,Racing,10.77
Grand Theft Auto IV,PS3,2009,Shooter,10.69
Super Mario All-Stars,PS3,2008,Action,10.57
Pokemon FireRed/Pokemon LeafGreen,SNES,1993,Platform,10.55
Super Mario 64,Game BoyA,2004,Role-Playing,10.49
Just Dance 3,DS,2004,Platform,10.42
Call of Duty: Ghosts,Wii,2011,Misc,10.26
Halo: Reach,X360,2013,Shooter,10.21
Mario Kart 64,X360,2010,Shooter,9.88
New Super Mario Bros. 2,N64,1996,Racing,9.87
Halo 4,3DS,2012,Platform,9.82
Final Fantasy VII,X360,2012,Shooter,9.76
Call of Duty: Ghosts,PS,1997,Role-Playing,9.72
Just Dance 2,PS3,2013,Shooter,9.59
Gran Turismo 2,Wii,2010,Misc,9.52
Call of Duty 4: Modern Warfare,PS,1999,Racing,9.49
Donkey Kong Country,X360,2007,Shooter,9.32
Minecraft,SNES,1994,Platform,9.3
Animal Crossing: New Leaf,X360,2013,Misc,9.2
Mario Party DS,3DS,2012,Simulation,9.09
The Elder Scrolls V: Skyrim,DS,2007,Misc,9.02
Super Mario Kart,X360,2011,Role-Playing,8.84
FIFA 16,SNES,1992,Racing,8.76
Wii Party,PS4,2015,Sports,8.49
Halo 2,Wii,2010,Misc,8.49
Mario Party 8,XB,2004,Shooter,8.49
Pokemon Black 2/Pokemon White 2,Wii,2007,Misc,8.42
FIFA Soccer 13,DS,2012,Role-Playing,8.33
The Sims 3,PS3,2012,Action,8.24
GoldenEye 007,PC,2009,Simulation,8.11
Mario & Sonic at the Olympic Games,N64,1997,Shooter,8.09
Final Fantasy X,Wii,2007,Sports,8.06
Final Fantasy VIII,PS2,2001,Role-Playing,8.05
Pokémon Platinum Version,PS,1999,Role-Playing,7.86
Pac-Man,DS,2008,Role-Playing,7.84
Grand Theft Auto: Liberty City Stories,2600,1982,Puzzle,7.81
Super Mario Galaxy 2,PSP,2005,Action,7.72
Star Wars Battlefront (2015),Wii,2010,Platform,7.69
Call of Duty: Advanced Warfare,PS4,2015,Shooter,7.67
The Legend of Zelda: Ocarina of Time,PS4,2014,Shooter,7.6
Crash Bandicoot 2: Cortex Strikes Back,N64,1998,Action,7.6
Super Mario Bros. 2,PS,1997,Platform,7.58
Super Smash Bros. for Wii U and 3DS,NES,1988,Platform,7.46
Call of Duty: World at War,3DS,2014,Fighting,7.45
Battlefield 3,X360,2008,Shooter,7.37
The Legend of Zelda: Twilight Princess,X360,2011,Shooter,7.34
Call of Duty: Black Ops 3,Wii,2006,Action,7.31
Just Dance,XOne,2015,Shooter,7.3
Battlefield 3,Wii,2009,Misc,7.27
Need for Speed Underground,PS3,2011,Shooter,7.23
Tekken 3,PS2,2003,Racing,7.2
Crash Bandicoot 3: Warped,PS,1998,Fighting,7.16
Super Smash Bros. Melee,PS,1998,Platform,7.13
Mario Kart 8,GC,2001,Fighting,7.07
Fallout 4,WiiU,2014,Racing,6.96
Mario Kart: Double Dash!!,PS4,2015,Role-Playing,6.96
Just Dance 4,GC,2003,Racing,6.95
FIFA 14,Wii,2012,Misc,6.91
Need for Speed Underground 2,PS3,2013,Sports,6.9
Medal of Honor: Frontline,PS2,2004,Racing,6.9
Uncharted 3: Drake's Deception,PS2,2002,Shooter,6.83
Crash Bandicoot,PS3,2011,Action,6.83
Zumba Fitness,PS,1996,Platform,6.82
Gears of War 2,Wii,2010,Sports,6.81
Uncharted 2: Among Thieves,X360,2008,Shooter,6.76
Call of Duty 4: Modern Warfare,PS3,2009,Action,6.73
FIFA 12,PS3,2007,Shooter,6.72
